date,open,high,low,close
1384593900,5282.22,5300,5251.01,5296.35
1384594200,5296.38,5330.01,5296.38,5330.01
1384594500,5332.97,5421.12,5320,5386.06
1384594800,5401.53,5431.68,5355.25,5419
1384595100,5402,5418.94,5300,5330.44
1384595400,5325.42,5399.97,5300,5380.55
1384595700,5399.94,5420,5399.94,5404.04
1384596000,5405.01,5410,5300,5349.01
1384596300,5355.21,5403,5355.21,5380.1
1384596600,5399.75,5399.75,5363.02,5364.98
1384596900,5363.05,5396.14,5363.02,5392.34
1384597200,5395,5409,5394.26,5406
1384597500,5405.96,5448.78,5405.96,5448.78
1384597800,5449,5497,5442.38,5447.39
1384598100,5447.39,5470,5400,5453.16
1384598400,5455,5478.3,5455,5463.11
1384598700,5463.11,5467.33,5400,5400.04
1384599000,5400,5404.59,5320,5359.98
1384599300,5357.2,5357.23,5336.3,5340
1384599600,5339.96,5350,5280.39,5293.64
1384599900,5293.59,5348,5231,5348
1384600200,5260,5292.68,5259.79,5292.68
1384600500,5293,5357,5201,5230
1384600800,5249.77,5300,5181.01,5300
1384601100,5286.87,5300,5180,5207.97
1384601400,5207.94,5300,5200,5261.28
1384601700,5285.52,5285.52,5235.75,5250
1384602000,5250,5276.97,5249.97,5264.95
1384602300,5260.4,5300,5250,5300
1384602600,5277.07,5390,5265.19,5369.85
1384602900,5369.85,5381.97,5300,5337.5
1384603200,5320.23,5339.99,5300,5308.94
1384603500,5308.13,5337,5220,5290
1384603800,5268.03,5268.03,5222,5228.97
1384604100,5228.97,5282.99,5201,5201
1384604400,5206,5249,5160,5239.96
1384604700,5200.03,5234.91,5200,5217.54
1384605000,5217.54,5240.91,5210,5224.11
1384605300,5224.11,5237,5210.62,5214.43
1384605600,5220,5220,5110,5110
date,open,high,low,close
1384605900,5107,5108.23,4961.69,4993.67
1384606200,4993.67,5000,4701,4710
1384606500,4735.92,5199,4711.8,5000
1384606800,5003,5039.92,4899.79,4950
1384607100,4950,4980.62,4801,4919.99
1384607400,4862.08,4900,4802,4859.97
1384607700,4858.86,4859.94,4807,4820
1384608000,4826.92,4950,4814.2,4915
1384608300,4940,4980.62,4922,4930.03
1384608600,4928.7,4935,4844.2,4844.2
1384608900,4844.2,4845.03,4760,4801
1384609200,4801,4819.96,4702.53,4702.53
1384609500,4702.53,4725,4552.13,4600
1384609800,4630.03,4828.87,4600,4750
1384610100,4765.31,4779.97,4710.01,4730.01
1384610400,4730,4730.02,4710.01,4729.99
1384610700,4719.97,4779.03,4718,4756
1384611000,4760,4779.95,4750,4766
1384611300,4755,4765,4700,4700
1384611600,4700,4710,4615.01,4630
1384611900,4638.38,4748.99,4622.11,4721
1384612200,4721.03,4750,4700,4750
1384612500,4740,4850.1,4725,4830
1384612800,4830,4896.99,4806,4879
1384613100,4868.41,4948.78,4857,4915.77
1384613400,4915.8,4997.97,4900,4997.97
1384613700,4997.97,5098.99,4962.03,5051
1384614000,5035.54,5270,5035.54,5237.03
1384614300,5237.13,5350,5237,5330
1384614600,5330,5355,5050,5070
1384614900,5070,5100,4908,4949.99
1384615200,4908,5000,4850.53,4965
1384615500,4965,5188.01,4900,5101
1384615800,5188.01,5188.01,5012,5050
1384616100,5018.39,5098.99,5001.1,5040
1384616400,5012.53,5048,5001.01,5019
1384616700,5009,5120,5001.01,5078.1
1384617000,5080,5093,5003,5035
1384617300,5035.03,5038,4999,4999
1384617600,4990,5000,4902.01,4980
1384617900,5000,5040,4950.53,5020
1384618200,5005.01,5019.97,4980.11,4999
1384618500,4983.13,4996.97,4980,4980.15
1384618800,4980.18,4983.04,4905,4930
1384619100,4930,4947.1,4910,4933.81
1384619400,4932.1,4935,4890.84,4899.97
1384619700,4890.84,4900.1,4855,4860
1384620000,4860,4940,4836,4940
1384620300,4940,4979.99,4890,4959.94
1384620600,4953.24,4954.03,4888,4888
1384620900,4888,4892.56,4812,4850
1384621200,4850,4925,4803.5,4910
1384621500,4896.6,4928,4858,4858
1384621800,4858.01,4880,4600,4680
1384622100,4698.88,4749,4588,4658
1384622400,4658,4748.88,4611,4746.99
1384622700,4746.99,4800,4611.01,4718.97
1384623000,4700.01,4700.01,4600,4631
1384623300,4631.03,4640,4551,4600
1384623600,4600,4658,4510,4551.16
1384623900,4530.01,4551.17,4420.03,4420.03
1384624200,4420.04,4496,4300,4319.99
1384624500,4340,4340,4210.11,4240
1384624800,4300,4545,4240,4510
1384625100,4540,4540,4400,4450
1384625400,4450,4450,4200,4200
1384625700,4200,4400,4180.01,4201
1384626000,4201,4300,4201,4250
1384626300,4250,4328,4232.87,4328
1384626600,4300,4428,4300,4350
1384626900,4390,4517,4351,4490
1384627200,4477,4540,4400,4500
1384627500,4500,4500,4301.01,4350
1384627800,4320.03,4418.9,4311.55,4400
1384628100,4400,4438.88,4400,4405
1384628400,4413.87,4413.88,4351,4390.41
1384628700,4390.41,4440.01,4380,4440
1384629000,4440.01,4588.88,4440,4588.88
1384629300,4550,4599.6,4513,4590.53
1384629600,4590.53,4600,4503.06,4564
1384629900,4554.5,4575,4502,4548
1384630200,4548,4548,4500,4500
1384630500,4502.86,4539,4490.01,4500.1
1384630800,4502.87,4534,4500.3,4500.3
1384631100,4509,4509.89,4480,4490
1384631400,4490,4497,4451,4460
1384631700,4460,4461,4428,4429.93
1384632000,4439.93,4450.01,4427.1,4445
1384632300,4445,4450.01,4420.01,4429.87
